,0,1,Delta
0,BILLY,39.9,-62.682
1,VOLMAR,199.0,96.418
2,MARKUS,185.0,82.418
3,KALLAX,65.0,-37.582
4,RENBERGET,39.9,-62.682
5,KALLAX,169.0,66.418
6,BILLY,29.0,-73.582
7,KALLAX,99.0,-3.582
8,ERIK,59.0,-43.582
9,FLINTAN,75.0,-27.582
10,ALEX,69.0,-33.582
11,MICKE,75.0,-27.582
12,FLINTAN /  NOMINELL,95.0,-7.582
13,KALLAX,35.95,-66.632
14,JANINGE,39.9,-62.682
15,FJÃ„LLBERGET,189.0,86.418
16,MILLBERGET,89.0,-13.582
17,IKEA PS,85.0,-17.582
18,PATRIK,175.0,72.418
19,KALLAX,59.9,-42.682
20,MALM,155.0,52.418
21,BEKANT,179.0,76.418
22,BEKANT,199.0,96.418
23,GALANT,149.0,46.418
24,KALLAX,10.0,-92.582
