Date,Open,High,Low,Close,Volume
5-Dec-16,40.02,40.39,39.85,40.20,4408407
2-Dec-16,39.77,40.32,39.58,40.07,8588544
1-Dec-16,41.00,41.04,39.53,39.63,12624139
30-Nov-16,41.62,41.67,40.88,41.02,7644360
29-Nov-16,41.43,41.83,41.12,41.60,13085981
28-Nov-16,40.85,41.70,40.74,41.45,6836364
25-Nov-16,41.08,41.08,40.71,40.87,2586908
23-Nov-16,40.91,40.98,40.54,40.96,3719257
22-Nov-16,41.20,41.40,40.83,41.01,8881541
21-Nov-16,41.44,41.48,40.94,41.11,11355856
18-Nov-16,41.48,41.65,40.90,41.19,8138928
17-Nov-16,41.34,41.65,41.20,41.45,8692013
16-Nov-16,40.10,41.05,40.10,40.98,15609553
15-Nov-16,39.61,40.45,39.58,40.21,13364918
14-Nov-16,40.36,40.39,38.87,39.30,12692293
11-Nov-16,39.84,40.52,39.37,40.42,15178907
10-Nov-16,41.55,41.65,39.54,40.16,16443786
9-Nov-16,40.44,41.39,40.22,41.21,24000065
8-Nov-16,40.97,41.28,40.68,41.16,4229743
7-Nov-16,41.17,41.23,40.86,41.05,5430744
4-Nov-16,39.96,40.67,39.80,40.28,4579437
3-Nov-16,40.62,40.75,40.18,40.23,8112820
2-Nov-16,41.80,42.16,40.36,40.68,13019956
1-Nov-16,41.13,41.34,40.69,41.33,11751521
31-Oct-16,42.03,42.16,41.55,41.55,3749658
28-Oct-16,42.03,42.22,41.71,41.78,6197469
27-Oct-16,42.31,42.49,41.81,41.87,7240848
26-Oct-16,42.26,42.44,41.95,42.08,6123026
25-Oct-16,42.72,42.75,42.43,42.55,5338875
24-Oct-16,42.50,42.68,42.38,42.59,4346851
21-Oct-16,42.10,42.20,41.73,42.17,7194168
20-Oct-16,42.69,42.69,42.07,42.38,11671022
19-Oct-16,42.30,42.94,42.26,42.73,14532469
18-Oct-16,42.04,42.60,41.63,41.68,19360802
17-Oct-16,41.35,41.94,41.24,41.79,8620369
14-Oct-16,42.04,42.25,41.40,41.44,7781258
13-Oct-16,42.00,42.08,41.17,41.62,15689711
12-Oct-16,42.60,42.78,42.05,42.36,7290843
11-Oct-16,43.87,44.08,42.49,42.68,9513283
10-Oct-16,43.36,44.07,43.25,43.92,6573631
7-Oct-16,43.26,43.68,43.12,43.22,8502112
6-Oct-16,43.64,43.82,43.37,43.68,6293908
5-Oct-16,43.23,43.87,43.22,43.71,6118487
4-Oct-16,43.20,43.50,42.96,43.18,8998384
3-Oct-16,42.95,43.18,42.82,43.13,7965922
30-Sep-16,42.74,43.25,42.72,43.10,10374757
29-Sep-16,43.17,43.30,42.43,42.57,13720746
28-Sep-16,43.40,43.72,43.25,43.69,7418984
27-Sep-16,42.43,43.41,42.32,43.37,8765715
26-Sep-16,42.38,42.74,41.85,42.29,12745119
23-Sep-16,43.50,43.76,42.54,42.80,31888521
22-Sep-16,43.94,44.87,43.74,44.15,33355616
21-Sep-16,42.89,44.22,42.89,44.14,12313680
20-Sep-16,43.24,43.38,42.66,42.79,9788923
19-Sep-16,43.92,43.95,43.00,43.19,7887375
16-Sep-16,43.94,44.02,43.47,43.67,19093930
15-Sep-16,43.41,44.05,43.22,43.99,12535634
14-Sep-16,42.91,43.62,42.86,43.46,11625287
13-Sep-16,43.19,43.52,42.69,43.04,10132044
12-Sep-16,42.28,43.65,42.18,43.46,10808806
9-Sep-16,43.92,44.15,42.82,42.92,12060737
8-Sep-16,44.07,44.72,44.03,44.36,7882609
7-Sep-16,44.55,44.92,44.19,44.35,9109446
6-Sep-16,43.50,44.85,43.50,44.71,18125776
2-Sep-16,43.27,43.60,43.08,43.28,7334914
1-Sep-16,42.78,43.10,42.72,42.93,5575305
31-Aug-16,42.46,42.80,42.46,42.75,7715941
30-Aug-16,42.28,42.74,42.28,42.58,5804080
29-Aug-16,42.20,42.46,42.08,42.26,4555600
26-Aug-16,42.15,42.61,41.94,42.27,6327991
25-Aug-16,41.83,42.24,41.73,42.03,5360912
24-Aug-16,42.50,42.77,41.79,41.91,6930295
23-Aug-16,42.61,42.91,42.45,42.60,8963786
22-Aug-16,42.84,42.87,42.33,42.52,6229402
19-Aug-16,42.80,43.12,42.64,43.02,9460753
18-Aug-16,42.69,42.97,42.58,42.90,11294419
17-Aug-16,42.39,42.75,42.39,42.70,8571927
16-Aug-16,42.30,42.79,41.95,42.49,13793794
15-Aug-16,43.18,43.29,42.43,42.67,14441784
12-Aug-16,41.28,42.98,41.28,42.94,25182851
11-Aug-16,41.12,41.73,40.93,41.27,23938864
10-Aug-16,39.34,39.98,39.30,39.93,12981568
9-Aug-16,39.24,39.31,39.10,39.24,5971530
8-Aug-16,39.00,39.27,38.86,39.24,10131279
5-Aug-16,39.00,39.15,38.90,38.99,9127094
4-Aug-16,38.47,39.03,38.43,38.92,11000843
3-Aug-16,38.43,38.55,38.28,38.39,5890051
2-Aug-16,38.60,38.67,38.26,38.57,7504721
1-Aug-16,38.18,38.89,38.10,38.80,9605006
29-Jul-16,38.47,38.52,38.08,38.19,13199145
28-Jul-16,38.58,38.64,38.23,38.52,7424404
27-Jul-16,38.66,38.77,38.43,38.66,12148433
26-Jul-16,38.07,38.83,37.90,38.76,15978647
25-Jul-16,39.20,39.21,38.22,38.32,41814378
22-Jul-16,38.90,39.42,38.78,39.38,11325660
21-Jul-16,39.01,39.25,38.72,38.85,7671760
20-Jul-16,38.36,38.93,38.26,38.90,8177973
19-Jul-16,37.77,38.49,37.65,38.17,10393957
18-Jul-16,37.68,37.97,37.50,37.95,16046777
15-Jul-16,38.16,38.18,37.68,37.72,13513375
14-Jul-16,37.85,38.35,37.85,37.96,10713015
13-Jul-16,37.99,38.01,37.46,37.64,9566060
12-Jul-16,38.00,38.33,37.87,37.89,15224047
11-Jul-16,37.44,38.15,37.37,37.96,20342573
8-Jul-16,37.53,37.84,37.06,37.74,8786614
7-Jul-16,37.57,37.76,37.29,37.52,9031440
6-Jul-16,37.43,37.56,37.13,37.51,8328101
5-Jul-16,37.68,37.77,37.17,37.50,8746735
1-Jul-16,37.56,38.08,37.43,37.99,10602792
30-Jun-16,36.89,37.58,36.89,37.56,15209878
29-Jun-16,36.25,37.08,36.25,36.86,10808162
28-Jun-16,35.58,36.14,35.50,36.04,10990713
27-Jun-16,35.87,36.01,35.05,35.22,14157606
24-Jun-16,36.40,36.95,36.08,36.24,19657828
23-Jun-16,37.64,37.78,37.41,37.78,7710892
22-Jun-16,37.37,37.52,37.17,37.36,6279215
21-Jun-16,37.37,37.55,37.20,37.40,5574603
20-Jun-16,37.27,37.68,37.24,37.29,8957313
17-Jun-16,37.43,37.44,36.81,36.94,12593900
16-Jun-16,37.39,37.45,36.54,37.39,10634046
15-Jun-16,37.43,37.60,37.10,37.32,10213170
14-Jun-16,36.63,37.44,36.63,37.40,13023127
13-Jun-16,36.70,36.91,36.42,36.47,6519751
10-Jun-16,36.97,37.14,36.59,36.83,11216470
9-Jun-16,36.82,37.73,36.71,37.35,14759107
8-Jun-16,36.84,37.30,36.84,36.97,9181896
7-Jun-16,36.90,36.99,36.62,36.73,14757059
6-Jun-16,36.67,37.20,36.52,37.07,8426142
3-Jun-16,37.11,37.11,36.50,36.60,12059105
2-Jun-16,36.66,37.22,36.58,37.15,12179259
1-Jun-16,37.25,37.74,36.56,36.65,22177647
31-May-16,37.73,38.08,37.50,37.94,12873630
27-May-16,36.88,37.88,36.84,37.82,14642533
26-May-16,36.13,36.85,36.07,36.76,16277866
25-May-16,36.63,36.96,35.47,35.59,33984864
24-May-16,36.85,37.63,36.77,37.53,10601318
23-May-16,36.46,36.94,36.43,36.66,7768631
20-May-16,36.05,36.72,35.88,36.50,34311031
19-May-16,36.94,37.23,36.67,37.02,7096480
18-May-16,37.09,37.50,36.89,37.24,8465904
17-May-16,37.44,37.70,37.25,37.27,11335505
16-May-16,37.03,37.79,36.88,37.48,16976456
13-May-16,36.91,37.07,36.38,36.48,10996727
12-May-16,37.39,37.51,36.79,37.03,11169187
11-May-16,37.28,37.63,37.20,37.37,9997359
10-May-16,37.17,37.58,37.14,37.44,7171353
9-May-16,36.97,37.35,36.92,37.18,6149115
6-May-16,36.55,37.31,36.49,37.23,9208343
5-May-16,37.06,37.45,36.86,36.94,13699177
4-May-16,35.81,36.09,35.74,36.00,9649269
3-May-16,36.25,36.41,35.91,36.01,8774971
2-May-16,36.65,36.74,36.32,36.53,6581891
29-Apr-16,36.51,36.98,36.15,36.60,11954114
28-Apr-16,36.84,37.44,36.51,36.59,13148503
27-Apr-16,37.52,37.59,36.63,36.95,16391163
26-Apr-16,37.32,37.54,36.91,37.11,10059564
25-Apr-16,37.47,37.54,37.18,37.23,9823457
22-Apr-16,37.50,38.09,37.16,37.48,9071816
21-Apr-16,37.92,38.12,37.35,37.67,11633739
20-Apr-16,37.10,38.18,37.00,37.84,30758921
19-Apr-16,36.46,36.73,36.11,36.33,20014080
18-Apr-16,36.24,37.00,35.88,36.52,17723026
15-Apr-16,37.13,37.15,36.42,36.51,19016188
14-Apr-16,37.47,37.50,36.85,37.17,16608991
13-Apr-16,36.94,37.35,36.90,37.31,17158703
12-Apr-16,36.65,36.83,36.28,36.66,10439369
11-Apr-16,36.38,36.84,36.32,36.48,13709569
8-Apr-16,36.85,36.92,35.62,36.07,20251112
7-Apr-16,35.86,37.25,35.72,36.17,38653774
6-Apr-16,36.40,37.00,36.31,36.66,19418583
5-Apr-16,36.70,36.92,36.22,36.41,12439202
4-Apr-16,36.55,37.50,36.54,37.02,20203233
1-Apr-16,36.54,36.88,36.31,36.48,13650354
31-Mar-16,36.51,37.02,36.50,36.81,18666216
30-Mar-16,36.61,37.28,36.44,36.56,19836459
29-Mar-16,35.05,36.43,35.01,36.32,23166544
28-Mar-16,35.39,35.45,34.62,35.23,12976815
24-Mar-16,34.45,34.86,33.93,34.86,14101549
23-Mar-16,35.43,35.70,34.71,34.80,12192595
22-Mar-16,34.68,35.61,34.68,35.41,11272275
21-Mar-16,35.00,36.10,35.00,35.47,13279376
18-Mar-16,34.54,35.21,34.38,35.17,20488334
17-Mar-16,33.88,34.55,33.87,34.28,9334078
16-Mar-16,33.03,34.08,33.00,34.01,10975697
15-Mar-16,33.32,33.46,33.11,33.26,10672318
14-Mar-16,33.75,34.08,33.51,33.58,7960303
11-Mar-16,33.29,33.86,32.84,33.81,11682714
10-Mar-16,33.59,33.60,32.09,32.82,19451953
9-Mar-16,33.09,33.52,32.78,33.51,12647144
8-Mar-16,33.66,33.82,32.84,32.93,21007332
7-Mar-16,33.68,34.38,33.59,33.96,22923982
4-Mar-16,32.91,33.93,32.76,33.86,22915205
3-Mar-16,32.71,33.21,32.42,32.88,11355589
2-Mar-16,32.81,33.24,32.77,32.91,10458566
1-Mar-16,32.04,32.85,32.04,32.80,14833638
29-Feb-16,31.31,32.46,31.31,31.79,19208698
26-Feb-16,31.68,31.90,31.22,31.37,16680156
25-Feb-16,30.74,31.36,30.24,31.36,19842342
24-Feb-16,30.41,31.12,29.80,30.95,12612029
23-Feb-16,31.20,31.38,30.50,30.67,16847456
22-Feb-16,30.65,31.21,30.39,31.17,21455295
19-Feb-16,30.19,30.23,29.70,30.04,20706072
18-Feb-16,29.56,30.14,29.39,29.42,15259369
17-Feb-16,29.47,29.66,29.06,29.37,12891554
16-Feb-16,27.98,29.44,27.94,29.28,20127286
12-Feb-16,27.12,27.32,26.72,27.04,12986151
11-Feb-16,26.46,26.97,26.15,26.76,11154923
10-Feb-16,27.11,27.81,26.84,27.10,8933601
9-Feb-16,26.64,27.69,26.51,26.82,13919057
8-Feb-16,27.61,27.97,26.48,27.05,24473574
5-Feb-16,29.06,29.14,27.72,27.97,16077452
4-Feb-16,27.91,29.23,27.71,29.15,28516992
3-Feb-16,28.45,28.61,26.57,27.68,55527649
2-Feb-16,29.32,30.23,28.13,29.06,34088167
1-Feb-16,29.27,29.78,28.79,29.57,12865755
29-Jan-16,29.10,29.51,28.51,29.51,18718334
28-Jan-16,30.59,30.63,28.60,28.75,15420511
27-Jan-16,29.90,30.53,29.44,29.69,13269873
26-Jan-16,29.76,30.19,29.62,29.98,11422624
25-Jan-16,29.96,30.39,29.66,29.78,23095495
22-Jan-16,29.97,30.52,29.31,29.75,16272093
21-Jan-16,28.75,29.80,28.19,29.31,16073930
20-Jan-16,28.98,29.11,27.44,28.78,20455096
19-Jan-16,29.84,30.00,29.31,29.74,20036365
15-Jan-16,29.28,29.77,28.58,29.14,17352014
14-Jan-16,29.69,30.57,28.71,30.32,14995662
13-Jan-16,30.89,31.17,29.32,29.44,16593732
12-Jan-16,30.58,30.97,30.21,30.69,13198495
11-Jan-16,30.65,30.75,29.74,30.17,17140122
8-Jan-16,30.51,31.54,30.00,30.63,26322780
7-Jan-16,30.97,31.19,30.02,30.16,21209071
6-Jan-16,31.67,32.46,31.60,32.16,16047757
5-Jan-16,31.55,32.32,31.53,32.20,14301076
4-Jan-16,32.12,32.35,31.14,31.40,25176155
31-Dec-15,33.22,33.68,33.18,33.26,7423271
30-Dec-15,33.85,34.04,33.35,33.37,5933634
29-Dec-15,33.63,34.17,33.60,34.04,12621892
28-Dec-15,33.90,33.91,33.35,33.60,11020755
24-Dec-15,34.19,34.74,34.10,34.11,3470658
23-Dec-15,34.24,34.58,33.99,34.45,13469154
22-Dec-15,32.99,34.21,32.97,34.19,15531275
21-Dec-15,33.12,33.30,32.69,32.96,9106706
18-Dec-15,33.10,33.63,32.87,32.95,16921825
17-Dec-15,33.81,34.08,33.11,33.23,13243513
16-Dec-15,33.15,33.88,32.91,33.78,12689442
15-Dec-15,32.53,33.39,32.50,33.03,16187259
14-Dec-15,32.94,33.27,32.21,32.59,15949567
11-Dec-15,34.01,34.15,32.82,32.91,14936195
10-Dec-15,34.49,34.73,33.91,34.63,16174180
9-Dec-15,35.80,35.84,33.15,34.40,45101897
8-Dec-15,34.24,34.98,34.03,34.85,19852579
